animal_tag,region,subregion,class_flex,adult_weight_kg,productive_period_days,initial_weight_kg,final_weight_kg,sows_gestation_days,sows_lactation_days,piglet_birth_weight_kg,piglet_weaning_weight_kg,sow_reserve_gain_kg
feedlot_calves_male,,,,,,,,,,,,
feedlot_calves_female,,,,,,,,,,,,
beef_calves_male,,,,,,,,,,,,
beef_calves_female,,,,,,,,,,,,
beef_calves_male_replacement,,,,,,,,,,,,
beef_calves_female_replacement,,,,,,,,,,,,
dairy_calves_female_replacement,,,,,,,,,,,,
beef_yearlings_male_replacement,,,,,,,,,,,,
beef_yearlings_female_replacement,,,,,,,,,,,,
dairy_yearlings_female_replacement,,,,,,,,,,,,
mature_beef_bull,,,,,,,,,,,,
mature_dairy_cattle,spain,north,dry_phase,675,365,675,675,,,,,
mature_dairy_cattle,spain,north,lactation_phase,675,365,675,675,,,,,
mature_dairy_cattle,spain,south,dry_phase,675,365,675,675,,,,,
mature_dairy_cattle,spain,south,lactation_phase,675,365,675,675,,,,,
mature_beef_cattle,,,,,,,,,,,,
lamb_female_dairy_replacement,,,,,,,,,,,,
lamb_dairy_slaughter,,,,,,,,,,,,
lamb_female_meat_replacement,,,,,,,,,,,,
lamb_meat_slaughter,,,,,,,,,,,,
lamb_male_dairy_replacement,,,,,,,,,,,,
lamb_male_meat_replacement,,,,,,,,,,,,
mature_sheep_female_dairy,,,,,,,,,,,,
mature_sheep_female_meat,,,,,,,,,,,,
mature_sheep_male_dairy,,,,,,,,,,,,
mature_sheep_male_meat,,,,,,,,,,,,
kid_goat_male_dairy_replacement,,,,,,,,,,,,
kid_goat_male_meat_replacement,,,,,,,,,,,,
mature_goat_male_dairy,,,,,,,,,,,,
mature_goat_male_meat,,,,,,,,,,,,
kid_goat_female_dairy_replacement,,,,,,,,,,,,
kid_goat_female_meat_replacement,,,,,,,,,,,,
mature_goat_female_dairy,,,,,,,,,,,,
mature_goat_female_meat,,,,,,,,,,,,
broilers,,,,,,,,,,,,
replacement_meat_pullets,,,,,,,,,,,,
breeder_meat_hens,,,,,,,,,,,,
replacement_layer_pullets,,,,,,,,,,,,
laying_hens,,,,,,,,,,,,
free_range_laying_hens,,,,,,,,,,,,
fattening_pigs,,,,,,,,,,,,
replacement_sows,,,,,,,,,,,,
breeder_sows,,,,,,,,,,,,
boars,,,,,,,,,,,,
