diet_tag,subregion,forage_share,feed_share,milk_share,milk_replacer_share,region,animal_type,animal_subtype
diet_feedlot_calves,,8.74,88.86,0.00,2.40,spain,cattle,feedlot
diet_beef_calves_slaughter,montaña,0.00,4.66,95.34,0.00,spain,cattle,beef
diet_beef_calves_slaughter,dehesa,0.00,0.00,100.00,0.00,spain,cattle,beef
diet_beef_calves_slaughter,españa húmeda,0.00,0.00,100.00,0.00,spain,cattle,beef
diet_beef_calves_replacement,montaña,95.98,4.02,0.00,0.00,spain,cattle,beef
diet_beef_calves_replacement,dehesa,100.00,0.00,0.00,0.00,spain,cattle,beef
diet_beef_calves_replacement,españa húmeda,100.00,0.00,0.00,0.00,spain,cattle,beef
diet_dairy_calves_replacement,a,60.00,40.00,0.00,0.00,spain,cattle,dairy
diet_dairy_calves_replacement,b,65.00,35.00,0.00,0.00,spain,cattle,dairy
diet_beef_mature_yearlings,montaña,95.98,4.02,0.00,0.00,spain,cattle,beef
diet_beef_mature_yearlings,dehesa,100.00,0.00,0.00,0.00,spain,cattle,beef
diet_beef_mature_yearlings,españa húmeda,100.00,0.00,0.00,0.00,spain,cattle,beef
diet_dairy_yearlings_replacement,a,56.00,44.00,0.00,0.00,spain,cattle,dairy
diet_dairy_yearlings_replacement,b,71.00,29.00,0.00,0.00,spain,cattle,dairy
diet_dairy_mature,a,55.00,45.00,0.00,0.00,spain,cattle,dairy
diet_dairy_mature,b,50.00,50.00,0.00,0.00,spain,cattle,dairy
diet_lamb_dairy_slaughter,,5.00,45.00,50.00,0.00,spain,sheep,dairy
diet_lamb_meat_slaughter,,10.00,90.00,0.00,0.00,spain,sheep,meat
diet_lamb_dairy_male_replacement_pasture,,76.00,24.00,0.00,0.00,spain,sheep,dairy
diet_lamb_dairy_male_replacement_stall,,40.00,60.00,0.00,0.00,spain,sheep,dairy
diet_lamb_meat_male_replacement_pasture,,40.00,60.00,0.00,0.00,spain,sheep,meat
diet_mature_sheep_dairy_male_pasture,,76.00,24.00,0.00,0.00,spain,sheep,dairy
diet_mature_sheep_dairy_male_stall,,50.00,50.00,0.00,0.00,spain,sheep,dairy
diet_mature_sheep_meat_male_pasture,,50.00,50.00,0.00,0.00,spain,sheep,meat
diet_lamb_dairy_female_replacement_pasture,,100.00,0.00,0.00,0.00,spain,sheep,dairy
diet_lamb_dairy_female_replacement_stall,,40.00,60.00,0.00,0.00,spain,sheep,dairy
diet_lamb_meat_female_replacement_pasture,,80.00,20.00,0.00,0.00,spain,sheep,meat
diet_mature_sheep_dairy_female_pasture,,75.00,25.00,0.00,0.00,spain,sheep,dairy
diet_mature_sheep_dairy_female_stall,,40.00,60.00,0.00,0.00,spain,sheep,dairy
diet_mature_sheep_meat_female_pasture,,80.00,20.00,0.00,0.00,spain,sheep,meat
diet_kid_goat_male_dairy_replacement_stall,,25.62,54.38,20.00,0.00,spain,goat,dairy
diet_kid_goat_male_dairy_replacement_pasture,,29.50,54.50,16.00,0.00,spain,goat,dairy
diet_kid_goat_male_meat_replacement_stall,,32.09,54.58,13.33,0.00,spain,goat,meat
diet_kid_goat_male_meat_replacement_pasture,,32.09,54.58,13.33,0.00,spain,goat,meat
diet_mature_goat_male_dairy_stall,,50.00,50.00,0.00,0.00,spain,goat,dairy
diet_mature_goat_male_dairy_pasture,,76.00,24.00,0.00,0.00,spain,goat,dairy
diet_mature_goat_male_meat_stall,,50.00,50.00,0.00,0.00,spain,goat,meat
diet_mature_goat_male_meat_pasture,,76.00,24.00,0.00,0.00,spain,goat,meat
diet_kid_goat_female_dairy_replacement_stall,,25.62,54.38,20.00,0.00,spain,goat,dairy
diet_kid_goat_female_dairy_replacement_pasture,,42.00,42.00,16.00,0.00,spain,goat,dairy
diet_kid_goat_female_meat_replacement_stall,,32.09,54.58,13.33,0.00,spain,goat,meat
diet_kid_goat_female_meat_replacement_pasture,,32.09,54.58,13.33,0.00,spain,goat,meat
diet_mature_goat_female_dairy_stall,,40.00,60.00,0.00,0.00,spain,goat,dairy
diet_mature_goat_female_dairy_pasture,,60.00,40.00,0.00,0.00,spain,goat,dairy
diet_mature_goat_female_meat_stall,,70.00,30.00,0.00,0.00,spain,goat,meat
diet_mature_goat_female_meat_pasture,,90.00,10.00,0.00,0.00,spain,goat,meat
